name,photo
Test__vector-glassy-button-cs-by-dragonart.ppm,0
Test__vector-music-melody-preview_PNGOUT.ppm,0
Test_01-03_rouders_PNGOUT.ppm,0
Test_01PNG-PNGOUTWin_PNGOUT.ppm,0
Test_02_Schluesselfelder_Schiff-PNG.ppm,1
Test_02PNG-PNGOUTWin.ppm,0
Test_03PNG-PNGOUTWin.ppm,0
Test_20_petra_cold_landscape.png,1
Test_20080227053020!Myoglobin_PNGOUT.ppm,0
Test_248080202_731e632c11_o.png,0
Test_275000.ppm,1
Test_275001.ppm,1
Test_275002.ppm,1
Test_275003.ppm,1
Test_275004.ppm,1
Test_275005.ppm,1
Test_275006.ppm,1
Test_275007.ppm,1
Test_275008.ppm,1
Test_275009.ppm,1
Test_2mpampjjpg.png,0
Test_354000.ppm,1
Test_354001.ppm,1
Test_354002.ppm,1
Test_354003.ppm,1
Test_354004.ppm,1
Test_354005.ppm,1
Test_354006.ppm,1
Test_354007.ppm,1
Test_354008.ppm,1
Test_354009.ppm,1
Test_384001.ppm,1
Test_384002.ppm,1
Test_384003.ppm,1
Test_384004.ppm,1
Test_384006.ppm,1
Test_384007.ppm,1
Test_384009.ppm,1
Test_384010.ppm,1
Test_384010-2.ppm,1
Test_384011.ppm,1
Test_500px-Roadmap_to_Unicode_BMP_de.svg.png,0
Test_618px-Speed1c.ppm,0
Test_800px-0849_pilar_ebro_2004.ppm,1
Test_Alexandra+Burke+SUPER+HQ++PNG.ppm,1
Test_architecture-5ao.ppm,1
Test_architecture-7q7.ppm,1
Test_artificial8_full_PNGOUT.ppm,0
Test_Ashton_landscape.png,1
Test_aspens.ppm,1
Test_auto1.ppm,1
Test_balloon.ppm,1
Test_barbara_PNGOUT.ppm,1
Test_barbara2_PNGOUT.ppm,1
Test_battery-6rc0.ppm,1
Test_beach1.ppm,1
Test_beach2.ppm,1
Test_bear.ppm,1
Test_BigBuckBunny-Landscape.png,0
Test_bike.rgb_PNGOUT.ppm,1
Test_bike3.ppm,1
Test_black.ppm,1
Test_BlockMap_Photoshop_PNGOUT.ppm,1
Test_BML_CAT_Chartres_03k_PNGOUT.ppm,0
Test_boots_PNGOUT.ppm,0
Test_Bretagne2.ppm,1
Test_brick.ppm,1
Test_bullfight.ppm,1
Test_BumbleBee_HedKase.ppm,0
Test_cafe.rgb.ppm,1
Test_captured_Image-png_4d60c4b0-7133-4ef8-bbe0-be0e27b0bf29_PNGOUT.ppm,0
Test_carpets-j4h.ppm,1
Test_cathedral.ppm,1
Test_cement.ppm,1
Test_Cevennes1.ppm,1
Test_Cevennes2.ppm,1
Test_Chart_pulinco_PNGOUT.ppm,0
Test_chart2_PNGOUT.ppm,0
Test_ChartBuilder_PNGOUT.ppm,0
Test_chinook.ppm,1
Test_ciudad-2_0.png,0
Test_coffee2-216x300.png,0
Test_colours-10.ppm,1
Test_colours-an5.ppm,1
Test_computer-301.ppm,1
Test_computer-309.ppm,1
Test_Cone-response.ppm,0
Test_construction-06.ppm,1
Test_construction-g6vr.ppm,1
Test_construction-w7xq.ppm,1
Test_corn-j7z2.ppm,1
Test_couple.ppm,1
Test_cover07_img10.png,0
Test_crowd-people-g3ky.ppm,1
Test_cubeiccp_PNGOUT.ppm,0
Test_cwheel.ppm,0
Test_DarkWorld.ppm,0
Test_demos_explorer_PNGOUT.ppm,0
Test_demos_gift-demo_PNGOUT.ppm,0
Test_Desert_landscape.png,1
Test_dev.ppm,0
Test_diabolik_001.png,0
Test_diabolik_002.png,0
Test_Diabolik_animato.png,0
Test_didle_PNGOUT.ppm,0
Test_disneyBMP.png,0
Test_door-e5f8.ppm,1
Test_dumper.png,0
Test_eagle.ppm,1
Test_ecb_berlin_07t.png,0
Test_ecb_ny_89t.png,0
Test_ecb-assembler-17t-1.png,0
Test_europa_karte_de_PNGOUT.ppm,0
Test_Facade.ppm,1
Test_face1.ppm,1
Test_Farbkreis_Itten_1961.png,0
Test_favicons_large_PNGOUT.ppm,0
Test_flaggen_580x2500_PNGOUT.ppm,0
Test_flowers-k5cq.ppm,1
Test_flowers-y02o.ppm,1
Test_fragerance1.png,0
Test_FRD-Bonn-20s-882x623.ppm,0
Test_Gem-BMP_1000.png,1
Test_gg.ppm,1
Test_girl.ppm,1
Test_girl1.ppm,1
Test_grey-leaves-1g7u_small.ppm,1
Test_Hangeul.ppm,0
Test_happybirds.ppm,0
Test_home3.ppm,1
Test_home4.ppm,1
Test_hp3.ppm,0
Test_im1.ppm,1
Test_im10.ppm,1
Test_im12.ppm,1
Test_im14.ppm,1
Test_im15.ppm,1
Test_im19.ppm,1
Test_im2.ppm,1
Test_im20.ppm,1
Test_im3.ppm,1
Test_im4.ppm,1
Test_im5.ppm,1
Test_im6.ppm,1
Test_im7.ppm,1
Test_im8.ppm,1
Test_ImageConverter.png,0
Test_ImageConverter_1.png,0
Test_img-icons-a-png-official-macosx-leopard-icon-pack-daddy77-17777.ppm,0
Test_index_abc.png,0
Test_Jupiter_Earth_Comparison.ppm,1
Test_k01.ppm,1
Test_k02.ppm,1
Test_k03.ppm,1
Test_k04.ppm,1
Test_k05.ppm,1
Test_k06.ppm,1
Test_k07.ppm,1
Test_k08.ppm,1
Test_k09.ppm,1
Test_k10.ppm,1
Test_k11.ppm,1
Test_k12.ppm,1
Test_k13.ppm,1
Test_k14.ppm,1
Test_k15.ppm,1
Test_k16.ppm,1
Test_k17.ppm,1
Test_k18.ppm,1
Test_k19.ppm,1
Test_k20.ppm,1
Test_k21.ppm,1
Test_k22.ppm,1
Test_k23.ppm,1
Test_k24.ppm,1
Test_kbm-oslocentralxmas-34t.png,0
Test_keyboard.png,0
Test_kodim01.ppm,1
Test_kodim02.ppm,1
Test_kodim03.ppm,1
Test_kodim04.ppm,1
Test_kodim05.ppm,1
Test_kodim06.ppm,1
Test_kodim07.ppm,1
Test_kodim08.ppm,1
Test_kodim09.ppm,1
Test_kodim10.ppm,1
Test_kodim11.ppm,1
Test_kodim12.ppm,1
Test_kodim13.ppm,1
Test_kodim14.ppm,1
Test_kodim15.ppm,1
Test_kodim16.ppm,1
Test_kodim17.ppm,1
Test_kodim18.ppm,1
Test_kodim19.ppm,1
Test_kodim20.ppm,1
Test_kodim21.ppm,1
Test_kodim22.ppm,1
Test_kodim23.ppm,1
Test_kodim24.ppm,1
Test_krb-insertpostersanta-07t.png,0
Test_Lady+Gaga+PNG.ppm,1
Test_ladybug_landscape.png,0
Test_lake1.ppm,1
Test_Landscape.png,0
Test_Landscape_002.png,0
Test_Landscape_Full_HD_by_depARTed89.png,0
Test_langfristchart_historischer_chart_orangensaft_PNGOUT.ppm,0
Test_lawn-v6h3.ppm,1
Test_leaves-12.ppm,1
Test_leaves-6n3y.ppm,1
Test_leaves-kijj7.ppm,1
Test_leaves-mval_small.ppm,1
Test_light_world-1_PNGOUT.ppm,0
Test_Logo_3.png,0
Test_lunar-lander.ppm,1
Test_macro-765.ppm,1
Test_Map_118230550922074.ppm,0
Test_map_vicinity.png,0
Test_mcn-cokedublin-43s.png,0
Test_mediothek_landscape.png,0
Test_meditate_fel_PNGOUT.ppm,0
Test_Merian-PNG.png,0
Test_Michelangelo_David.ppm,1
Test_misc-09.ppm,1
Test_MMSposter-large.png,1
Test_night-379.ppm,1
Test_noir-diabolik-guitar-hommess_design.png,0
Test_Nukleationskern_Fluessigkeit.ppm,0
Test_Oblivion2007101513345379.png,0
Test_Oblivion2007101714023034.png,0
Test_Oblivion2007101714024170.png,0
Test_Oblivion2007101714040018.png,0
Test_o-png24_PNGOUT.ppm,1
Test_orm-makeposter2008-14t.png,0
Test_P_thin_ext_cor_BlackBodyCT.ppm,0
Test_p08_PNGOUT.ppm,1
Test_party_4s.ppm,1
Test_pasodoble1.png,1
Test_pasodoble3.png,1
Test_pc-z5e2.ppm,1
Test_pebbles.ppm,1
Test_people-126.ppm,1
Test_periodensystem-1280x887.png,0
Test_pie_charts_3d.ppm,0
Test_pixelart3jpg.png,0
Test_plant-fol2.ppm,1
Test_png.png,0
Test_png-8passes_PNGOUT.ppm,0
Test_png-9passes.ppm,0
Test_png-IceAlpha-ie5mac.ppm,0
Test_police.png,0
