name,encoding_time_mean,decoding_time_mean,encoded_size_mean,photo,encoding_time_var,decoding_time_var,encoded_size_var,original_size,compression_ratio,measurement_count
Test__vector-glassy-button-cs-by-dragonart.ppm.ppm,593,107,1025805,False,0,0,0,3000042,2.92457338383026,1
Test__vector-music-melody-preview_PNGOUT.ppm.ppm,257,43,213499,False,0,0,0,735115,3.4431777198019664,1
Test_01-03_rouders_PNGOUT.ppm.ppm,174,37,216445,False,0,0,0,378040,1.746586892744115,1
Test_01PNG-PNGOUTWin_PNGOUT.ppm.ppm,1536,287,2928989,False,0,0,0,14069741,4.803616879407878,1
Test_02_Schluesselfelder_Schiff-PNG.ppm.ppm,265,43,250843,True,0,0,0,750040,2.9900774588088965,1
Test_02PNG-PNGOUTWin.ppm.ppm,752,160,1935242,False,0,0,0,4576542,2.3648422264502322,1
Test_03PNG-PNGOUTWin.ppm.ppm,1790,469,6812551,False,0,0,0,15580266,2.286994401950165,1
Test_20_petra_cold_landscape.png.ppm,610,126,1508790,True,0,0,0,2359312,1.5637113183411873,1
Test_20080227053020!Myoglobin_PNGOUT.ppm.ppm,208,42,200734,False,0,0,0,1318600,6.568892165751691,1
Test_248080202_731e632c11_o.png.ppm,192,31,127094,False,0,0,0,750015,5.901262058004312,1
Test_275000.ppm.ppm,402,61,435348,True,0,0,0,1064380,2.444894658985455,1
Test_275001.ppm.ppm,348,58,433733,True,0,0,0,1069303,2.46534849780856,1
Test_275002.ppm.ppm,393,64,497811,True,0,0,0,1085620,2.1807874876208038,1
Test_275003.ppm.ppm,391,59,429463,True,0,0,0,1090060,2.538193045733858,1
Test_275004.ppm.ppm,391,59,427836,True,0,0,0,1088587,2.544402528071504,1
Test_275005.ppm.ppm,404,58,391565,True,0,0,0,1073724,2.7421347668969394,1
Test_275006.ppm.ppm,372,55,381032,True,0,0,0,1087062,2.852941485229587,1
Test_275007.ppm.ppm,397,58,390379,True,0,0,0,1075173,2.7541773507283946,1
Test_275008.ppm.ppm,360,57,398320,True,0,0,0,1090755,2.7383887326772443,1
Test_275009.ppm.ppm,368,58,454537,True,0,0,0,1073850,2.3625139427593354,1
Test_2mpampjjpg.png.ppm,516,112,1513743,False,0,0,0,2221072,1.4672715249550288,1
Test_354000.ppm.ppm,365,67,702461,True,0,0,0,1080447,1.5380882355034657,1
Test_354001.ppm.ppm,355,66,639317,True,0,0,0,1085616,1.6980871774096418,1
Test_354002.ppm.ppm,367,68,669452,True,0,0,0,1088559,1.6260448844726731,1
Test_354003.ppm.ppm,357,70,752810,True,0,0,0,1086303,1.442997569107743,1
Test_354004.ppm.ppm,378,65,652074,True,0,0,0,1075260,1.6489846244444648,1
Test_354005.ppm.ppm,352,62,592847,True,0,0,0,1062825,1.7927475385723466,1
Test_354006.ppm.ppm,396,65,604029,True,0,0,0,1084128,1.79482773178109,1
Test_354007.ppm.ppm,387,79,720768,True,0,0,0,1078983,1.49699070990943,1
Test_354008.ppm.ppm,358,69,770854,True,0,0,0,1074591,1.3940266250158915,1
Test_354009.ppm.ppm,344,67,658695,True,0,0,0,1077519,1.6358390453851934,1
Test_384001.ppm.ppm,393,65,625530,True,0,0,0,1070199,1.7108675842885233,1
Test_384002.ppm.ppm,367,65,577528,True,0,0,0,1075326,1.861946087462426,1
Test_384003.ppm.ppm,390,66,593477,True,0,0,0,1089285,1.8354291741718718,1
Test_384004.ppm.ppm,391,114,702409,True,0,0,0,1179663,1.6794531391254952,1
Test_384006.ppm.ppm,356,68,600418,True,0,0,0,1082580,1.8030438794306634,1
Test_384007.ppm.ppm,391,67,712748,True,0,0,0,1066545,1.4963844163715647,1
Test_384009.ppm.ppm,401,70,752843,True,0,0,0,1081935,1.4371323104551679,1
Test_384010.ppm.ppm,384,68,706665,True,0,0,0,1070826,1.5153233851966632,1
Test_384010-2.ppm.ppm,325,52,450726,True,0,0,0,737295,1.6357942519402031,1
Test_384011.ppm.ppm,422,65,603105,True,0,0,0,1059951,1.7574899893053448,1
Test_500px-Roadmap_to_Unicode_BMP_de.svg.png.ppm,133,27,140290,False,0,0,0,469515,3.346746026088816,1
Test_618px-Speed1c.ppm.ppm,262,56,504777,False,0,0,0,1112440,2.2038246592059463,1
Test_800px-0849_pilar_ebro_2004.ppm.ppm,358,70,548557,True,0,0,0,1178440,2.148254420233449,1
Test_Alexandra+Burke+SUPER+HQ++PNG.ppm.ppm,307,47,386395,True,0,0,0,796540,2.061465598674931,1
Test_architecture-5ao.ppm.ppm,836,178,2277385,True,0,0,0,3961841,1.7396448119224461,1
Test_architecture-7q7.ppm.ppm,870,170,2322961,True,0,0,0,3961841,1.7055133512788205,1
Test_artificial8_full_PNGOUT.ppm.ppm,1096,266,1908787,False,0,0,0,18874410,9.888169816747494,1
Test_Ashton_landscape.png.ppm,641,110,1219380,True,0,0,0,2359312,1.934845577260575,1
Test_aspens.ppm.ppm,358,63,610911,True,0,0,0,970155,1.5880463766407873,1
Test_auto1.ppm.ppm,436,81,864368,True,0,0,0,1440040,1.6660033689354534,1
Test_balloon.ppm.ppm,306,53,499084,True,0,0,0,740367,1.483451683484143,1
Test_barbara_PNGOUT.ppm.ppm,397,74,816951,True,0,0,0,1244200,1.5229799584063182,1
Test_barbara2_PNGOUT.ppm.ppm,416,76,843775,True,0,0,0,1244200,1.4745637166306182,1
Test_battery-6rc0.ppm.ppm,861,185,2424220,True,0,0,0,3961841,1.6342745295393983,1
Test_beach1.ppm.ppm,310,53,512644,True,0,0,0,740367,1.4442127480278713,1
Test_beach2.ppm.ppm,305,53,492790,True,0,0,0,740367,1.5023985876336776,1
Test_bear.ppm.ppm,174,34,173201,True,0,0,0,332644,1.92056627848569,1
Test_BigBuckBunny-Landscape.png.ppm,998,221,2924832,False,0,0,0,5760036,1.9693561886631437,1
Test_bike.rgb_PNGOUT.ppm.ppm,2374,634,9170422,True,0,0,0,15728682,1.7151535665425213,1
Test_bike3.ppm.ppm,574,105,1273515,True,0,0,0,2153232,1.6907786716293094,1
Test_black.ppm.ppm,421,69,647901,True,0,0,0,1244200,1.9203551159822256,1
Test_BlockMap_Photoshop_PNGOUT.ppm.ppm,1592,380,5420872,True,0,0,0,8631522,1.5922755600943908,1
Test_BML_CAT_Chartres_03k_PNGOUT.ppm.ppm,434,83,966600,False,0,0,0,1555888,1.6096503207117732,1
Test_boots_PNGOUT.ppm.ppm,652,137,1700574,False,0,0,0,2608157,1.533692153355279,1
Test_Bretagne2.ppm.ppm,2337,586,7187724,True,0,0,0,15116586,2.103111638677278,1
Test_brick.ppm.ppm,2294,594,7326656,True,0,0,0,15116561,2.0632278900497036,1
Test_bullfight.ppm.ppm,182,34,200245,True,0,0,0,294927,1.4728307822916926,1
Test_BumbleBee_HedKase.ppm.ppm,1948,436,2904323,False,0,0,0,58320042,20.08042562759032,1
Test_cafe.rgb.ppm.ppm,2370,677,11209771,True,0,0,0,15728657,1.4031202778361842,1
Test_captured_Image-png_4d60c4b0-7133-4ef8-bbe0-be0e27b0bf29_PNGOUT.ppm.ppm,252,45,343530,False,0,0,0,745540,2.170232585218176,1
Test_carpets-j4h.ppm.ppm,854,193,2743563,True,0,0,0,3961841,1.4440495807823621,1
Test_cathedral.ppm.ppm,2718,719,9801813,True,0,0,0,18048042,1.8412962989602026,1
Test_cement.ppm.ppm,2292,567,6483349,True,0,0,0,15116561,2.3315976048798235,1
Test_Cevennes1.ppm.ppm,2216,579,7837138,True,0,0,0,15116586,1.9288400944324318,1
Test_Cevennes2.ppm.ppm,293,49,277798,True,0,0,0,921640,3.3176624741718803,1
