name,encoding_time_mean,decoding_time_mean,encoded_size_mean,photo,encoding_time_var,decoding_time_var,encoded_size_var,original_size,compression_ratio,measurement_count
Test__vector-glassy-button-cs-by-dragonart.ppm.ppm,221,206,800155,False,0,0,0,3000042,3.7493260680743106,1
Test__vector-music-melody-preview_PNGOUT.ppm.ppm,62,60,232650,False,0,0,0,735115,3.159746400171932,1
Test_01-03_rouders_PNGOUT.ppm.ppm,59,51,250062,False,0,0,0,378040,1.5117850773008294,1
Test_01PNG-PNGOUTWin_PNGOUT.ppm.ppm,758,815,2938987,False,0,0,0,14069741,4.787275683764508,1
Test_02_Schluesselfelder_Schiff-PNG.ppm.ppm,81,58,218596,True,0,0,0,750040,3.431169829274095,1
Test_02PNG-PNGOUTWin.ppm.ppm,411,398,2080697,False,0,0,0,4576542,2.1995235250495386,1
Test_03PNG-PNGOUTWin.ppm.ppm,1163,1157,5615527,False,0,0,0,15580266,2.7744975671918235,1
Test_20_petra_cold_landscape.png.ppm,236,223,1182568,True,0,0,0,2359312,1.995075124643995,1
Test_20080227053020!Myoglobin_PNGOUT.ppm.ppm,80,84,241099,False,0,0,0,1318600,5.4691226425659165,1
Test_248080202_731e632c11_o.png.ppm,54,56,174227,False,0,0,0,750015,4.3048149827523865,1
Test_275000.ppm.ppm,79,79,338002,True,0,0,0,1064380,3.1490346210969165,1
Test_275001.ppm.ppm,81,80,341502,True,0,0,0,1069303,3.1311763913534914,1
Test_275002.ppm.ppm,89,85,379482,True,0,0,0,1085620,2.8607944513837285,1
Test_275003.ppm.ppm,79,79,337980,True,0,0,0,1090060,3.2252204272442158,1
Test_275004.ppm.ppm,79,81,342975,True,0,0,0,1088587,3.17395436985203,1
Test_275005.ppm.ppm,78,79,329421,True,0,0,0,1073724,3.259427905324797,1
Test_275006.ppm.ppm,74,76,310273,True,0,0,0,1087062,3.503566214269369,1
Test_275007.ppm.ppm,73,76,318883,True,0,0,0,1075173,3.3716849126482127,1
Test_275008.ppm.ppm,75,79,318233,True,0,0,0,1090755,3.4275357992414364,1
Test_275009.ppm.ppm,79,81,352403,True,0,0,0,1073850,3.0472215049247593,1
Test_2mpampjjpg.png.ppm,278,255,1387278,False,0,0,0,2221072,1.6010287772169673,1
Test_354000.ppm.ppm,107,102,492712,True,0,0,0,1080447,2.1928570848690514,1
Test_354001.ppm.ppm,100,100,453540,True,0,0,0,1085616,2.393649953697579,1
Test_354002.ppm.ppm,103,98,463800,True,0,0,0,1088559,2.347043984476067,1
Test_354003.ppm.ppm,105,104,500783,True,0,0,0,1086303,2.169209018676752,1
Test_354004.ppm.ppm,97,95,443250,True,0,0,0,1075260,2.42585448392555,1
Test_354005.ppm.ppm,97,94,426630,True,0,0,0,1062825,2.4912101821250263,1
Test_354006.ppm.ppm,93,92,425443,True,0,0,0,1084128,2.548233253338285,1
Test_354007.ppm.ppm,103,99,483532,True,0,0,0,1078983,2.231461413101925,1
Test_354008.ppm.ppm,111,108,524672,True,0,0,0,1074591,2.0481195870944133,1
Test_354009.ppm.ppm,98,97,448682,True,0,0,0,1077519,2.4015204532385965,1
Test_384001.ppm.ppm,92,91,426388,True,0,0,0,1070199,2.509918196572136,1
Test_384002.ppm.ppm,89,90,404808,True,0,0,0,1075326,2.6563852493033733,1
Test_384003.ppm.ppm,90,90,415984,True,0,0,0,1089285,2.618574272087388,1
Test_384004.ppm.ppm,99,100,473806,True,0,0,0,1179663,2.4897595218296096,1
Test_384006.ppm.ppm,130,92,419059,True,0,0,0,1082580,2.583359383762191,1
Test_384007.ppm.ppm,99,97,475094,True,0,0,0,1066545,2.2449136381431885,1
Test_384009.ppm.ppm,102,99,484676,True,0,0,0,1081935,2.2322850729146895,1
Test_384010.ppm.ppm,97,95,459341,True,0,0,0,1070826,2.3312223380886965,1
Test_384010-2.ppm.ppm,68,66,302381,True,0,0,0,737295,2.438298041212907,1
Test_384011.ppm.ppm,97,93,446996,True,0,0,0,1059951,2.371276253031347,1
Test_500px-Roadmap_to_Unicode_BMP_de.svg.png.ppm,48,46,153770,False,0,0,0,469515,3.0533589126617677,1
Test_618px-Speed1c.ppm.ppm,92,90,371127,False,0,0,0,1112440,2.9974644798141874,1
Test_800px-0849_pilar_ebro_2004.ppm.ppm,89,91,378643,True,0,0,0,1178440,3.112271981787594,1
Test_Alexandra+Burke+SUPER+HQ++PNG.ppm.ppm,62,62,243764,True,0,0,0,796540,3.2676687287704502,1
Test_architecture-5ao.ppm.ppm,388,369,2044242,True,0,0,0,3961841,1.938048919844128,1
