name,encoding_time_mean,decoding_time_mean,encoded_size_mean,photo,encoding_time_var,decoding_time_var,encoded_size_var,original_size,compression_ratio,measurement_count
Test__vector-glassy-button-cs-by-dragonart.ppm.ppm,6939,74,22249,False,0,0,0,3000042,134.83940851274215,1
Test__vector-music-melody-preview_PNGOUT.ppm.ppm,0,0,0,False,0,0,0,0,NaN,0
Test_01-03_rouders_PNGOUT.ppm.ppm,3888,36,23734,False,0,0,0,378040,15.92820426392517,1
Test_01PNG-PNGOUTWin_PNGOUT.ppm.ppm,0,0,0,False,0,0,0,0,NaN,0
Test_02_Schluesselfelder_Schiff-PNG.ppm.ppm,4012,36,10963,True,0,0,0,750040,68.41557967709569,1
Test_02PNG-PNGOUTWin.ppm.ppm,0,0,0,False,0,0,0,0,NaN,0
Test_03PNG-PNGOUTWin.ppm.ppm,0,0,0,False,0,0,0,0,NaN,0
Test_20_petra_cold_landscape.png.ppm,5886,64,34682,True,0,0,0,2359312,68.02698806297215,1
Test_20080227053020!Myoglobin_PNGOUT.ppm.ppm,4870,47,11121,False,0,0,0,1318600,118.5684740580883,1
Test_248080202_731e632c11_o.png.ppm,3597,38,10940,False,0,0,0,750015,68.5571297989031,1
Test_275000.ppm.ppm,3292,43,9295,True,0,0,0,1064380,114.51102743410436,1
Test_275001.ppm.ppm,0,0,0,True,0,0,0,0,NaN,0
Test_275002.ppm.ppm,0,0,0,True,0,0,0,0,NaN,0
Test_275003.ppm.ppm,0,0,0,True,0,0,0,0,NaN,0
Test_275004.ppm.ppm,0,0,0,True,0,0,0,0,NaN,0
Test_275005.ppm.ppm,0,0,0,True,0,0,0,0,NaN,0
Test_275006.ppm.ppm,0,0,0,True,0,0,0,0,NaN,0
Test_275007.ppm.ppm,0,0,0,True,0,0,0,0,NaN,0
Test_275008.ppm.ppm,3392,41,7858,True,0,0,0,1090755,138.80822092135404,1
Test_275009.ppm.ppm,0,0,0,True,0,0,0,0,NaN,0
Test_2mpampjjpg.png.ppm,0,0,0,False,0,0,0,0,NaN,0
Test_354000.ppm.ppm,4436,49,31083,True,0,0,0,1080447,34.76006177009941,1
Test_354001.ppm.ppm,0,0,0,True,0,0,0,0,NaN,0
Test_354002.ppm.ppm,0,0,0,True,0,0,0,0,NaN,0
Test_354003.ppm.ppm,4929,49,34623,True,0,0,0,1086303,31.37518412615891,1
Test_354004.ppm.ppm,0,0,0,True,0,0,0,0,NaN,0
Test_354005.ppm.ppm,0,0,0,True,0,0,0,0,NaN,0
Test_354006.ppm.ppm,0,0,0,True,0,0,0,0,NaN,0
Test_354007.ppm.ppm,0,0,0,True,0,0,0,0,NaN,0
Test_354008.ppm.ppm,5154,45,36531,True,0,0,0,1074591,29.415865976841587,1
Test_354009.ppm.ppm,4033,53,28820,True,0,0,0,1077519,37.38789035392089,1
Test_384001.ppm.ppm,0,0,0,True,0,0,0,0,NaN,0
Test_384002.ppm.ppm,0,0,0,True,0,0,0,0,NaN,0
Test_384003.ppm.ppm,0,0,0,True,0,0,0,0,NaN,0
