name,encoding_time_mean,decoding_time_mean,encoded_size_mean,photo,encoding_time_var,decoding_time_var,encoded_size_var,original_size,compression_ratio,measurement_count
Test__vector-glassy-button-cs-by-dragonart.ppm.ppm,508,96,1025805,False,0,0,0,3000017,2.9245490127265903,1
Test__vector-music-melody-preview_PNGOUT.ppm.ppm,245,39,213555,False,0,0,0,732123,3.428264381541055,1
Test_01-03_rouders_PNGOUT.ppm.ppm,148,26,136844,False,0,0,0,378015,2.7623790593668702,1
Test_01PNG-PNGOUTWin_PNGOUT.ppm.ppm,770,109,702426,False,0,0,0,14066800,20.02602409364118,1
Test_02_Schluesselfelder_Schiff-PNG.ppm.ppm,235,38,250843,True,0,0,0,750015,2.989977794875679,1
Test_02PNG-PNGOUTWin.ppm.ppm,646,139,1708758,False,0,0,0,4572449,2.675890325019693,1
Test_03PNG-PNGOUTWin.ppm.ppm,1551,385,5673909,False,0,0,0,15573905,2.7448281246667863,1
Test_20_petra_cold_landscape.png.ppm,483,90,1106312,True,0,0,0,2359312,2.132591890895154,1
Test_20080227053020!Myoglobin_PNGOUT.ppm.ppm,268,36,202888,False,0,0,0,1318575,6.49902902093766,1
Test_248080202_731e632c11_o.png.ppm,178,29,127094,False,0,0,0,750015,5.901262058004312,1
Test_275000.ppm.ppm,277,43,283076,True,0,0,0,1064355,3.7599619890064857,1
Test_275001.ppm.ppm,318,41,308204,True,0,0,0,1065615,3.4574989292806064,1
Test_275002.ppm.ppm,318,45,344610,True,0,0,0,1083375,3.1437712196395924,1
Test_275003.ppm.ppm,293,42,284703,True,0,0,0,1087815,3.820876492344654,1
Test_275004.ppm.ppm,294,41,272598,True,0,0,0,1084875,3.979761406906874,1
Test_275005.ppm.ppm,280,40,256558,True,0,0,0,1070055,4.170811278541304,1
Test_275006.ppm.ppm,271,39,241299,True,0,0,0,1083375,4.489761664988251,1
Test_275007.ppm.ppm,265,40,251868,True,0,0,0,1072947,4.259957596836438,1
Test_275008.ppm.ppm,304,39,259643,True,0,0,0,1090755,4.200979806888689,1
Test_275009.ppm.ppm,300,43,325690,True,0,0,0,1070187,3.285906843931346,1
Test_2mpampjjpg.png.ppm,440,78,1078948,False,0,0,0,2218000,2.0557061137330064,1
Test_354000.ppm.ppm,312,44,429105,True,0,0,0,1080447,2.517908204285664,1
Test_354001.ppm.ppm,335,45,438563,True,0,0,0,1081935,2.467000180133755,1
Test_354002.ppm.ppm,331,48,453839,True,0,0,0,1086351,2.3936924768475163,1
Test_354003.ppm.ppm,342,47,486025,True,0,0,0,1086303,2.2350763849596214,1
Test_354004.ppm.ppm,328,46,435570,True,0,0,0,1071591,2.460203870789999,1
Test_354005.ppm.ppm,306,44,413353,True,0,0,0,1061379,2.567730245093177,1
Test_354006.ppm.ppm,353,44,394909,True,0,0,0,1080447,2.7359391657318524,1
Test_354007.ppm.ppm,338,49,497071,True,0,0,0,1077519,2.167736601008709,1
Test_354008.ppm.ppm,325,48,481417,True,0,0,0,1074591,2.2321417814493465,1
Test_354009.ppm.ppm,313,47,444846,True,0,0,0,1077519,2.422229265858297,1
Test_384001.ppm.ppm,338,42,359833,True,0,0,0,1068735,2.9700861232849682,1
Test_384002.ppm.ppm,362,45,404475,True,0,0,0,1071663,2.649516039310217,1
Test_384003.ppm.ppm,273,44,367754,True,0,0,0,1087815,2.9579963780135636,1
Test_384004.ppm.ppm,391,49,478253,True,0,0,0,1179663,2.466608677833699,1
Test_384006.ppm.ppm,317,44,393963,True,0,0,0,1078911,2.738609970987123,1
Test_384007.ppm.ppm,322,47,492696,True,0,0,0,1064355,2.160267183009401,1
Test_384009.ppm.ppm,307,50,510793,True,0,0,0,1081935,2.118147664513805,1
Test_384010.ppm.ppm,358,45,427959,True,0,0,0,1067163,2.493610369217612,1
Test_384010-2.ppm.ppm,328,46,418734,True,0,0,0,737295,1.7607717548610813,1
Test_384011.ppm.ppm,311,45,414585,True,0,0,0,1059951,2.556655450631354,1
Test_500px-Roadmap_to_Unicode_BMP_de.svg.png.ppm,140,24,108004,False,0,0,0,468015,4.333311729195215,1
Test_618px-Speed1c.ppm.ppm,304,48,504211,False,0,0,0,1112415,2.2062489711648494,1
Test_800px-0849_pilar_ebro_2004.ppm.ppm,355,44,331862,True,0,0,0,1176015,3.5436868336838807,1
Test_Alexandra+Burke+SUPER+HQ++PNG.ppm.ppm,285,42,364468,True,0,0,0,795015,2.181302610928806,1
Test_architecture-5ao.ppm.ppm,662,122,1484393,True,0,0,0,3961816,2.668980519309913,1
Test_architecture-7q7.ppm.ppm,622,118,1550132,True,0,0,0,3961816,2.555792667979243,1
Test_artificial8_full_PNGOUT.ppm.ppm,871,178,1252287,False,0,0,0,18874385,15.071932392494691,1
Test_Ashton_landscape.png.ppm,541,86,909436,True,0,0,0,2359312,2.5942584195039564,1
Test_aspens.ppm.ppm,329,42,387876,True,0,0,0,968775,2.497640998669678,1
