name,encoding_time_mean,decoding_time_mean,encoded_size_mean,photo,encoding_time_var,decoding_time_var,encoded_size_var,original_size,compression_ratio,measurement_count
Test__vector-glassy-button-cs-by-dragonart.ppm.ppm,267,42,69318,False,0,0,0,3000017,43.279047289304366,1
Test__vector-music-melody-preview_PNGOUT.ppm.ppm,85,25,14033,False,0,0,0,732123,52.17152426423431,1
Test_01-03_rouders_PNGOUT.ppm.ppm,108,30,14382,False,0,0,0,378015,26.28389653733834,1
Test_01PNG-PNGOUTWin_PNGOUT.ppm.ppm,442,75,44119,False,0,0,0,14066800,318.83768897753805,1
Test_02_Schluesselfelder_Schiff-PNG.ppm.ppm,109,32,18209,True,0,0,0,750015,41.18924707562194,1
Test_02PNG-PNGOUTWin.ppm.ppm,337,51,115209,False,0,0,0,4572449,39.68829692124747,1
Test_03PNG-PNGOUTWin.ppm.ppm,655,126,360917,False,0,0,0,15573905,43.15093220879039,1
Test_20_petra_cold_landscape.png.ppm,180,32,45084,True,0,0,0,2359312,52.33147014461893,1
Test_20080227053020!Myoglobin_PNGOUT.ppm.ppm,151,25,21785,False,0,0,0,1318575,60.52673858159284,1
Test_248080202_731e632c11_o.png.ppm,125,23,27593,False,0,0,0,750015,27.181350342478165,1
Test_275000.ppm.ppm,98,29,8500,True,0,0,0,1064355,125.21823529411765,1
Test_275001.ppm.ppm,122,24,11863,True,0,0,0,1065615,89.82677231728906,1
Test_275002.ppm.ppm,95,23,14889,True,0,0,0,1083375,72.76344952649607,1
Test_275003.ppm.ppm,98,27,10249,True,0,0,0,1087815,106.1386476729437,1
Test_275004.ppm.ppm,90,21,8048,True,0,0,0,1084875,134.80057157057655,1
Test_275005.ppm.ppm,88,21,7246,True,0,0,0,1070055,147.67526911399392,1
Test_275006.ppm.ppm,113,22,7597,True,0,0,0,1083375,142.6056338028169,1
Test_275007.ppm.ppm,92,21,6789,True,0,0,0,1072947,158.04197967300044,1
Test_275008.ppm.ppm,102,21,8960,True,0,0,0,1090755,121.73604910714286,1
Test_275009.ppm.ppm,110,22,13986,True,0,0,0,1070187,76.51844701844702,1
