name,encoding_time_mean,decoding_time_mean,encoded_size_mean,photo,encoding_time_var,decoding_time_var,encoded_size_var,original_size,compression_ratio,measurement_count
Test__vector-glassy-button-cs-by-dragonart.ppm.ppm,92,85,945430,False,0,0.6666666666666666,0,3000017,3.173177284410268,3
Test__vector-music-melody-preview_PNGOUT.ppm.ppm,53,51.666666666666664,203227,False,0,0.22222222222222224,0,732123,3.6024888425258457,3
Test_01-03_rouders_PNGOUT.ppm.ppm,46,46,146517,False,0,0.6666666666666666,0,378015,2.58000778066709,3
Test_01PNG-PNGOUTWin_PNGOUT.ppm.ppm,112.33333333333333,114.33333333333333,641130,False,0.2222222222222222,0.888888888888889,0,14066800,21.940636064448707,3
Test_02_Schluesselfelder_Schiff-PNG.ppm.ppm,55.333333333333336,53.333333333333336,226071,True,0.22222222222222224,0.22222222222222224,0,750015,3.317608185039213,3
Test_02PNG-PNGOUTWin.ppm.ppm,115.33333333333333,104.33333333333333,1576104,False,0.2222222222222222,0.2222222222222222,0,4572449,2.901108683183343,3
Test_03PNG-PNGOUTWin.ppm.ppm,271.6666666666667,242.33333333333334,4946355,False,0.22222222222222224,1.5555555555555554,0,15573905,3.1485619208487865,3
Test_20_petra_cold_landscape.png.ppm,85,77,1027580,True,0,0,0,2359312,2.29598863348839,3
Test_20080227053020!Myoglobin_PNGOUT.ppm.ppm,51.333333333333336,62.333333333333336,172370,False,0.22222222222222224,256.88888888888886,0,1318575,7.649678018216627,3
Test_248080202_731e632c11_o.png.ppm,49,47.666666666666664,147137,False,0,0.22222222222222224,0,750015,5.097392226292503,3
Test_275000.ppm.ppm,57,54.666666666666664,275790,True,0,0.22222222222222224,0,1064355,3.8592951158490156,3
Test_275001.ppm.ppm,57.333333333333336,55.333333333333336,291183,True,0.22222222222222224,0.22222222222222224,0,1065615,3.6596058148999084,3
Test_275002.ppm.ppm,58.333333333333336,55.666666666666664,326517,True,0.22222222222222224,0.22222222222222224,0,1083375,3.3179742555517784,3
Test_275003.ppm.ppm,58.666666666666664,57,278498,True,0.888888888888889,2,0,1087815,3.9060065063303866,3
Test_275004.ppm.ppm,58,56.666666666666664,269518,True,0,0.22222222222222224,0,1084875,4.025241356792496,3
Test_275005.ppm.ppm,57.333333333333336,55.333333333333336,254517,True,0.22222222222222224,0.22222222222222224,0,1070055,4.2042574759249876,3
Test_275006.ppm.ppm,57.333333333333336,55,242916,True,0.22222222222222224,0,0,1083375,4.459875018524922,3
Test_275007.ppm.ppm,57,55.333333333333336,250348,True,0,0.22222222222222224,0,1072947,4.285822135587263,3
