name,encoding_time_mean,decoding_time_mean,encoded_size_mean,photo,encoding_time_var,decoding_time_var,encoded_size_var,original_size,compression_ratio,measurement_count
Test__vector-glassy-button-cs-by-dragonart.ppm.ppm,5928,58,22249,False,0,0,0,3000017,134.8382848667356,1
Test__vector-music-melody-preview_PNGOUT.ppm.ppm,2691,27,9114,False,0,0,0,732123,80.32949308755761,1
Test_01-03_rouders_PNGOUT.ppm.ppm,3747,24,10278,False,0,0,0,378015,36.779042615294806,1
Test_01PNG-PNGOUTWin_PNGOUT.ppm.ppm,4494,131,13568,False,0,0,0,14066800,1036.7629716981132,1
Test_02_Schluesselfelder_Schiff-PNG.ppm.ppm,3809,29,10963,True,0,0,0,750015,68.41329927939432,1
Test_02PNG-PNGOUTWin.ppm.ppm,6881,71,37718,False,0,0,0,4572449,121.22723898403945,1
Test_03PNG-PNGOUTWin.ppm.ppm,5626,133,34580,False,0,0,0,15573905,450.37319259687683,1
Test_20_petra_cold_landscape.png.ppm,4836,51,31309,True,0,0,0,2359312,75.35571241496055,1
Test_20080227053020!Myoglobin_PNGOUT.ppm.ppm,4914,37,12896,False,0,0,0,1318575,102.24682071960298,1
Test_248080202_731e632c11_o.png.ppm,3309,30,10940,False,0,0,0,750015,68.5571297989031,1
Test_275000.ppm.ppm,2240,32,5409,True,0,0,0,1064355,196.77481974486966,1
Test_275001.ppm.ppm,3494,35,7905,True,0,0,0,1065615,134.80265654648957,1
Test_275002.ppm.ppm,2958,33,10689,True,0,0,0,1083375,101.3541959023295,1
Test_275003.ppm.ppm,2795,32,6320,True,0,0,0,1087815,172.12262658227849,1
Test_275004.ppm.ppm,2419,31,5933,True,0,0,0,1084875,182.85437384122704,1
Test_275005.ppm.ppm,2300,32,4850,True,0,0,0,1070055,220.6298969072165,1
Test_275006.ppm.ppm,1909,29,4683,True,0,0,0,1083375,231.34208840486866,1
Test_275007.ppm.ppm,2271,33,5626,True,0,0,0,1072947,190.71222893707784,1
Test_275008.ppm.ppm,2279,30,5910,True,0,0,0,1090755,184.56091370558374,1
Test_275009.ppm.ppm,3601,33,9325,True,0,0,0,1070187,114.7653619302949,1
Test_2mpampjjpg.png.ppm,6169,55,33915,False,0,0,0,2218000,65.39879109538552,1
Test_354000.ppm.ppm,3805,37,21197,True,0,0,0,1080447,50.971694107656745,1
Test_354001.ppm.ppm,3761,34,17786,True,0,0,0,1081935,60.83070954683459,1
Test_354002.ppm.ppm,4083,35,17789,True,0,0,0,1086351,61.06869413682613,1
Test_354003.ppm.ppm,3756,36,20817,True,0,0,0,1086303,52.183455829370224,1
Test_354004.ppm.ppm,3431,34,16221,True,0,0,0,1071591,66.06195672276678,1
Test_354005.ppm.ppm,3533,35,18331,True,0,0,0,1061379,57.900769188805846,1
Test_354006.ppm.ppm,3569,34,14964,True,0,0,0,1080447,72.20308740978348,1
Test_354007.ppm.ppm,4100,37,22015,True,0,0,0,1077519,48.94476493300023,1
Test_354008.ppm.ppm,3720,38,20786,True,0,0,0,1074591,51.697825459443855,1
Test_354009.ppm.ppm,3598,35,19756,True,0,0,0,1077519,54.54135452520753,1
Test_384001.ppm.ppm,3432,31,9351,True,0,0,0,1068735,114.29098492139877,1
Test_384002.ppm.ppm,3271,37,14357,True,0,0,0,1071663,74.6439367555896,1
Test_384003.ppm.ppm,3697,32,9682,True,0,0,0,1087815,112.35436893203884,1
Test_384004.ppm.ppm,3941,38,20446,True,0,0,0,1179663,57.696517656265286,1
Test_384006.ppm.ppm,2854,60,11388,True,0,0,0,1078911,94.74104320337197,1
Test_384007.ppm.ppm,3886,37,20905,True,0,0,0,1064355,50.91389619708204,1
Test_384009.ppm.ppm,3656,36,20800,True,0,0,0,1081935,52.01610576923077,1
Test_384010.ppm.ppm,3410,34,18730,True,0,0,0,1067163,56.97613454351308,1
Test_384010-2.ppm.ppm,3128,34,21872,True,0,0,0,737295,33.70953730797366,1
Test_384011.ppm.ppm,5819,37,14004,True,0,0,0,1059951,75.68916023993145,1
Test_500px-Roadmap_to_Unicode_BMP_de.svg.png.ppm,4123,27,9051,False,0,0,0,468015,51.70865097779251,1
Test_618px-Speed1c.ppm.ppm,3783,39,22013,False,0,0,0,1112415,50.53445691182483,1
Test_800px-0849_pilar_ebro_2004.ppm.ppm,2852,37,9277,True,0,0,0,1176015,126.76673493586289,1
Test_Alexandra+Burke+SUPER+HQ++PNG.ppm.ppm,2801,31,15718,True,0,0,0,795015,50.57990838529075,1
