name,encoding_time_mean,decoding_time_mean,encoded_size_mean,photo,encoding_time_var,decoding_time_var,encoded_size_var,original_size,compression_ratio,measurement_count
Test__vector-glassy-button-cs-by-dragonart.ppm.ppm,15272,1089,542224,False,0,0,0,3000017,5.53280009737673,1
Test__vector-music-melody-preview_PNGOUT.ppm.ppm,4389,365,168758,False,0,0,0,732123,4.338300999063748,1
Test_01-03_rouders_PNGOUT.ppm.ppm,1430,166,44454,False,0,0,0,378015,8.503509245512214,1
Test_01PNG-PNGOUTWin_PNGOUT.ppm.ppm,71851,4334,2122527,False,0,0,0,14066800,6.627383303015698,1
Test_02_Schluesselfelder_Schiff-PNG.ppm.ppm,4092,357,171533,True,0,0,0,750015,4.372423965067946,1
Test_02PNG-PNGOUTWin.ppm.ppm,30020,2030,1527254,False,0,0,0,4572449,2.993902127609422,1
Test_03PNG-PNGOUTWin.ppm.ppm,97782,6147,4891560,False,0,0,0,15573905,3.1838319472724446,1
Test_20_petra_cold_landscape.png.ppm,16929,1140,1088156,True,0,0,0,2359312,2.16817441616827,1
Test_20080227053020!Myoglobin_PNGOUT.ppm.ppm,5727,392,131007,False,0,0,0,1318575,10.064920195104078,1
Test_248080202_731e632c11_o.png.ppm,3211,337,54701,False,0,0,0,750015,13.711175298440613,1
Test_275000.ppm.ppm,5887,476,288280,True,0,0,0,1064355,3.6920875537671707,1
Test_275001.ppm.ppm,6173,503,267214,True,0,0,0,1065615,3.987871144475963,1
Test_275002.ppm.ppm,6536,506,342643,True,0,0,0,1083375,3.1618185691813343,1
Test_275003.ppm.ppm,5887,495,265627,True,0,0,0,1087815,4.09527269441736,1
Test_275004.ppm.ppm,6171,479,265112,True,0,0,0,1084875,4.092138416970941,1
Test_275005.ppm.ppm,6012,485,285055,True,0,0,0,1070055,3.7538545193032924,1
Test_275006.ppm.ppm,6017,502,236634,True,0,0,0,1083375,4.578272775678896,1
Test_275007.ppm.ppm,5990,462,269613,True,0,0,0,1072947,3.979581845089072,1
Test_275008.ppm.ppm,5893,505,253768,True,0,0,0,1090755,4.2982369723527,1
Test_275009.ppm.ppm,5994,464,295434,True,0,0,0,1070187,3.622423282357481,1
Test_2mpampjjpg.png.ppm,17438,1131,1028930,False,0,0,0,2218000,2.155637409736328,1
Test_354000.ppm.ppm,6981,532,417850,True,0,0,0,1080447,2.5857293287064738,1
Test_354001.ppm.ppm,6999,527,413565,True,0,0,0,1081935,2.6161183852598744,1
Test_354002.ppm.ppm,7350,543,437502,True,0,0,0,1086351,2.4830766487924625,1
Test_354003.ppm.ppm,7355,533,466016,True,0,0,0,1086303,2.3310422818100665,1
Test_354004.ppm.ppm,6713,525,416337,True,0,0,0,1071591,2.573854833944617,1
Test_354005.ppm.ppm,6806,493,353228,True,0,0,0,1061379,3.004798600337459,1
Test_354006.ppm.ppm,6630,491,381878,True,0,0,0,1080447,2.8292988860316646,1
Test_354007.ppm.ppm,7085,506,459754,True,0,0,0,1077519,2.3436859711932905,1
Test_354008.ppm.ppm,7773,532,495691,True,0,0,0,1074591,2.1678646576193636,1
Test_354009.ppm.ppm,6732,502,383024,True,0,0,0,1077519,2.8131892518484483,1
Test_384001.ppm.ppm,6648,522,408115,True,0,0,0,1068735,2.618710412506279,1
Test_384002.ppm.ppm,6544,509,381213,True,0,0,0,1071663,2.811192168157959,1
Test_384003.ppm.ppm,6704,516,397070,True,0,0,0,1087815,2.7396051074117915,1
Test_384004.ppm.ppm,7303,562,459412,True,0,0,0,1179663,2.56776705876207,1
Test_384006.ppm.ppm,6865,514,389108,True,0,0,0,1078911,2.7727803077808733,1
Test_384007.ppm.ppm,7165,503,460601,True,0,0,0,1064355,2.310796112036231,1
Test_384009.ppm.ppm,7261,573,462594,True,0,0,0,1081935,2.338843564767377,1
Test_384010.ppm.ppm,6832,506,428223,True,0,0,0,1067163,2.4920730553940356,1
Test_384010-2.ppm.ppm,4511,365,285515,True,0,0,0,737295,2.5823336777402237,1
Test_384011.ppm.ppm,6792,484,433067,True,0,0,0,1059951,2.4475450680841533,1
