name,encoding_time_mean,decoding_time_mean,encoded_size_mean,photo,encoding_time_var,decoding_time_var,encoded_size_var,original_size,compression_ratio,measurement_count
Test__vector-glassy-button-cs-by-dragonart.ppm.ppm,224,193,800165,False,0,0,0,3000017,3.749247967606681,1
Test__vector-music-melody-preview_PNGOUT.ppm.ppm,51,53,232191,False,0,0,0,732123,3.153106709562386,1
Test_01-03_rouders_PNGOUT.ppm.ppm,47,44,250072,False,0,0,0,378015,1.5116246521001953,1
Test_01PNG-PNGOUTWin_PNGOUT.ppm.ppm,714,795,2938014,False,0,0,0,14066800,4.787860098692518,1
Test_02_Schluesselfelder_Schiff-PNG.ppm.ppm,48,50,218606,True,0,0,0,750015,3.4308985114772694,1
Test_02PNG-PNGOUTWin.ppm.ppm,389,377,2080653,False,0,0,0,4572449,2.1976028679457844,1
Test_03PNG-PNGOUTWin.ppm.ppm,1099,1117,5614849,False,0,0,0,15573905,2.7736997023428414,1
Test_20_petra_cold_landscape.png.ppm,222,210,1182568,True,0,0,0,2359312,1.995075124643995,1
Test_20080227053020!Myoglobin_PNGOUT.ppm.ppm,69,73,241109,False,0,0,0,1318575,5.468792123064672,1
Test_248080202_731e632c11_o.png.ppm,47,49,174227,False,0,0,0,750015,4.3048149827523865,1
Test_275000.ppm.ppm,69,72,338012,True,0,0,0,1064355,3.1488674958285503,1
Test_275001.ppm.ppm,69,71,340476,True,0,0,0,1065615,3.1297800726042366,1
Test_275002.ppm.ppm,75,76,378938,True,0,0,0,1083375,2.8589769302629984,1
Test_275003.ppm.ppm,69,71,337318,True,0,0,0,1087815,3.2248946098340436,1
Test_275004.ppm.ppm,69,71,341554,True,0,0,0,1084875,3.1762913038641036,1
Test_275005.ppm.ppm,67,70,328387,True,0,0,0,1070055,3.2585181508403194,1
Test_275006.ppm.ppm,63,67,308988,True,0,0,0,1083375,3.5062041244320166,1
Test_275007.ppm.ppm,64,68,318345,True,0,0,0,1072947,3.3703906139565567,1
Test_275008.ppm.ppm,66,69,318233,True,0,0,0,1090755,3.4275357992414364,1
Test_275009.ppm.ppm,69,72,351389,True,0,0,0,1070187,3.045590499418024,1
Test_2mpampjjpg.png.ppm,259,239,1385316,False,0,0,0,2218000,1.6010787430449083,1
Test_354000.ppm.ppm,93,94,492712,True,0,0,0,1080447,2.1928570848690514,1
Test_354001.ppm.ppm,89,88,451704,True,0,0,0,1081935,2.3952300621646034,1
Test_354002.ppm.ppm,89,89,462703,True,0,0,0,1086351,2.347836517161116,1
Test_354003.ppm.ppm,94,92,500783,True,0,0,0,1086303,2.169209018676752,1
Test_354004.ppm.ppm,86,86,441642,True,0,0,0,1071591,2.4263792845789123,1
Test_354005.ppm.ppm,85,84,426142,True,0,0,0,1061379,2.490669776741086,1
Test_354006.ppm.ppm,83,83,424191,True,0,0,0,1080447,2.547076670650721,1
Test_354007.ppm.ppm,92,90,482997,True,0,0,0,1077519,2.230902055292269,1
Test_354008.ppm.ppm,99,96,524672,True,0,0,0,1074591,2.0481195870944133,1
Test_354009.ppm.ppm,86,85,448682,True,0,0,0,1077519,2.4015204532385965,1
Test_384001.ppm.ppm,81,80,425704,True,0,0,0,1068735,2.5105119989476257,1
Test_384002.ppm.ppm,78,78,403571,True,0,0,0,1071663,2.655450961540844,1
Test_384003.ppm.ppm,80,81,415423,True,0,0,0,1087815,2.6185719134472576,1
Test_384004.ppm.ppm,89,88,473806,True,0,0,0,1179663,2.4897595218296096,1
Test_384006.ppm.ppm,118,82,417685,True,0,0,0,1078911,2.583073368686929,1
Test_384007.ppm.ppm,90,91,474074,True,0,0,0,1064355,2.245124178925653,1
Test_384009.ppm.ppm,92,90,484676,True,0,0,0,1081935,2.2322850729146895,1
Test_384010.ppm.ppm,87,85,457721,True,0,0,0,1067163,2.3314704809261535,1
Test_384010-2.ppm.ppm,59,59,302381,True,0,0,0,737295,2.438298041212907,1
Test_384011.ppm.ppm,86,84,446996,True,0,0,0,1059951,2.371276253031347,1
Test_500px-Roadmap_to_Unicode_BMP_de.svg.png.ppm,39,38,153515,False,0,0,0,468015,3.048659740090545,1
Test_618px-Speed1c.ppm.ppm,81,81,371137,False,0,0,0,1112415,2.99731635487704,1
